MSFT,Microsoft Corporation,2019-04-17,CORRECTED-UPDATE 2-Microsoft's Azure revenue growth slows in December quarter  shares fall ,Jan 30 Microsoft Corp on Thursday reported results largely in line with Wall Street's targets  though Azure cloud computing sales grew more slowly in the December quarter than a year earlier.,topStory
TSLA,Tesla Inc ,2019-04-17,Breakingviews - Tesla’s 2019 becoming a matter of flourish or fold ,NEW YORK (Reuters Breakingviews) - Elon Musk’s 2019 is shaping up to be a matter of flourish or fold. Tesla’s chief executive presided over a $139 million fourth-quarter profit  unveiled after markets closed on Wednesday. Trouble is  it took cost cuts at the $53 billion electric-car maker to eke out even that  which was less than half the profit in the previous three months – itself Tesla’s first black ink in ages.,topStory
TSLA,Tesla Inc ,2019-04-17,CORRECTED-UPDATE 1-Tesla sees profit in every quarter of 2019  shares fall ,Jan 30 - Tesla Inc said on Wednesday it was optimistic it could make a first quarter profit and expected to generate a profit and positive free cash flow consistently beyond the first quarter as it ramps up production of its Model 3 sedan.,normal
TSLA,Tesla Inc ,2019-04-17,Tesla posts smaller Q4 profit than previous quarter ,Jan 30 - Tesla Inc on Wednesday reported a smaller fourth-quarter profit compared with the previous three months and said Model 3 production volume in California should reach 7 000 units per week by the end of the year.,normal
TSLA,Tesla Inc ,2019-04-17,Koenigsegg super cars team up with Saab successor to go electric ,STOCKHOLM The Chinese-backed company born from the remnants of bankrupt Swedish automaker Saab is investing 150 million euros ($171 million) in a venture with Swedish super car brand Koenigsegg  in a move that could see them develop new electric models.,normal
TSLA,Tesla Inc ,2019-04-17,Koenigsegg super cars team up with Saab successor to go electric ,STOCKHOLM  Jan 30 The Chinese-backed company born from the remnants of bankrupt Swedish automaker Saab is investing 150 million euros ($171 million) in a venture with Swedish super car brand Koenigsegg  in a move that could see them develop new electric models.,normal
TSLA,Tesla Inc ,2019-04-17,REUTERS NEWS SCHEDULE AT 11 a.m. GMT/6 a.m. ET ,Here are the top stories and upcoming coverage plans for Reuters text service as of 11 a.m. GMT/6 a.m. ET. For a full schedule of news and events  go to our editorial calendar on Reuters Connect https://www.reutersconnect.com/planning or on Media Express http://mediaexpress.reuters.com/planning-tools/calendar.,normal
INTC,Intel Corporation,2019-04-17,Israel  Intel agree to reciprocal spending deal: ministry ,JERUSALEM Intel Corp has committed to buy 15 billion shekels ($4 billion) of Israeli products and services over the next six years as it begins a massive expansion of its local operations  Israel's economy ministry said on Wednesday.,topStory
INTC,Intel Corporation,2019-04-17,UPDATE 3-Qualcomm shares rise as outlook eases China fears ,Jan 30 Qualcomm Inc reported quarterly earnings that handily beat Wall Street views on Wednesday and said it had negotiated a new and slightly better interim patent contract with Huawei Technologies as it forecast current-quarter revenues in line with analyst estimates.,normal
INTC,Intel Corporation,2019-04-17,CORRECTED-UPDATE 2-Qualcomm earns beat views  sales outlook meets views; shares rise ,Jan 30 Qualcomm Inc reported quarterly earnings that handily beat Wall Street views on Wednesday and said it had negotiated a new and slightly better interim patent contract with Huawei Technologies as it forecast current-quarter revenues in line with analyst estimates.,normal
INTC,Intel Corporation,2019-04-17,Deals of the day-Mergers and acquisitions ,Jan 30 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Wednesday:,normal
INTC,Intel Corporation,2019-04-17,Israel  Intel agree to reciprocal spending deal -ministry ,JERUSALEM  Jan 30 Intel Corp has committed to buy 15 billion shekels ($4 billion) of Israeli products and services over the next six years as it begins a massive expansion of its local operations  Israel's economy ministry said on Wednesday.,normal
INTC,Intel Corporation,2019-04-17,Intel offered up to $6 billion for Israel's Mellanox: reports ,TEL AVIV U.S. chipmaker Intel Corp has bid $5.5-$6 billion in cash and stock to buy Israel's Mellanox Technologies  Israeli media reported on Wednesday.,normal
INTC,Intel Corporation,2019-04-17,Intel offered up to $6 bln for Israel's Mellanox -reports ,TEL AVIV  Jan 30 U.S. chipmaker Intel Corp has bid $5.5-$6 billion in cash and stock to buy Israel's Mellanox Technologies  Israeli media reported on Wednesday.,normal
QCOM,QUALCOMM Incorporated,2019-04-17,Qualcomm shares rise as outlook eases China fears ,Qualcomm Inc reported quarterly earnings that handily beat Wall Street views on Wednesday and said it had negotiated a new and slightly better interim patent contract with Huawei Technologies as it forecast current-quarter revenues in line with analyst estimates.,topStory
QCOM,QUALCOMM Incorporated,2019-04-17,UPDATE 3-Qualcomm shares rise as outlook eases China fears ,Jan 30 Qualcomm Inc reported quarterly earnings that handily beat Wall Street views on Wednesday and said it had negotiated a new and slightly better interim patent contract with Huawei Technologies as it forecast current-quarter revenues in line with analyst estimates.,normal
QCOM,QUALCOMM Incorporated,2019-04-17,CORRECTED-UPDATE 2-Qualcomm earns beat views  sales outlook meets views; shares rise ,Jan 30 Qualcomm Inc reported quarterly earnings that handily beat Wall Street views on Wednesday and said it had negotiated a new and slightly better interim patent contract with Huawei Technologies as it forecast current-quarter revenues in line with analyst estimates.,normal
QCOM,QUALCOMM Incorporated,2019-04-17,Qualcomm quarterly revenue misses Wall Street estimates ,Jan 30 Qualcomm Inc missed analysts' expectations for holiday-quarter revenue  as slowing smartphone demand in China and the loss of big customer Apple Inc took a toll on its chip sales.,normal
QCOM,QUALCOMM Incorporated,2019-04-17,REUTERS NEWS SCHEDULE AT 11 a.m. GMT/6 a.m. ET ,Here are the top stories and upcoming coverage plans for Reuters text service as of 11 a.m. GMT/6 a.m. ET. For a full schedule of news and events  go to our editorial calendar on Reuters Connect https://www.reutersconnect.com/planning or on Media Express http://mediaexpress.reuters.com/planning-tools/calendar.,normal
