MSFT,Microsoft Corporation,2019-01-22,Judge trims 'Siri' patent cases against Google  Amazon and Microsoft ,A federal judge on Friday narrowed a batch of lawsuits filed by technology licensing company WiLAN Inc alleging Amazon.com Inc  Microsoft Corp  and Google LLC infringed its patents on voice assistant technology.,topStory
TSLA,Tesla Inc ,2019-01-22,Exclusive: Tesla holds battery supply talks with China's Lishen ,BEIJING U.S. electric vehicle (EV) maker Tesla Inc  has held talks with China's Tianjin Lishen to supply batteries for its new Shanghai factory  and two people with direct knowledge of the matter said the pair signed a preliminary agreement.,topStory
TSLA,Tesla Inc ,2019-01-22,EXCLUSIVE-Tesla holds battery supply talks with China's Lishen ,* Tesla's current exclusive supplier is Japan's Panasonic (Recasts on Tesla  Lishen talks),normal
TSLA,Tesla Inc ,2019-01-22,UPDATE 1-Toyota  Panasonic announce battery venture to expand EV push ,* Batteries made by JV to be sold to various automakers (Adds details of venture  background),normal
TSLA,Tesla Inc ,2019-01-22,China's Lishen says has not signed agreement with Tesla on supplying batteries ,BEIJING China's Tianjin Lishen said on Tuesday it has not signed any agreement with Tesla Inc  on supplying batteries to the U.S. electric vehicle maker's Shanghai factory.,normal
TSLA,Tesla Inc ,2019-01-22,China's Lishen says has not signed agreement with Tesla on supplying batteries ,BEIJING  Jan 22 China's Tianjin Lishen said on Tuesday it has not signed any agreement with Tesla Inc on supplying batteries to the U.S. electric vehicle maker's Shanghai factory.,normal
TSLA,Tesla Inc ,2019-01-22,EXCLUSIVE -Tesla says it received battery quotes from China's Lishen but no deal agreed ,* Tesla says it received quotes from Lishen  but nothing signed,normal
TSLA,Tesla Inc ,2019-01-22,Tesla says it has no agreement with Chinese battery maker Lishen ,SHANGHAI Tesla Inc  denied on Tuesday that it had signed a preliminary agreement with Tianjin Lishen to supply batteries for its new Shanghai car factory  saying it had received quotes from the Chinese battery maker but did not proceed further.,normal
TSLA,Tesla Inc ,2019-01-22,Tesla says it has no agreement with Chinese battery maker Lishen ,SHANGHAI  Jan 22 Tesla Inc denied on Tuesday that it had signed a preliminary agreement with Tianjin Lishen to supply batteries for its new Shanghai car factory  saying it had received quotes from the Chinese battery maker but did not proceed further.,normal
TSLA,Tesla Inc ,2019-01-22,Nikkei dips as global growth concerns weigh; Panasonic tumbles ,* Panasonic falls  sources say Tesla finds rival battery maker,normal
TSLA,Tesla Inc ,2019-01-22,EXCLUSIVE -Tesla in talks with China's Lishen over Shanghai battery contract - sources ,* U.S. carmaker's current exclusive supplier is Japan's Panasonic,normal
