MSFT,Microsoft Corporation,2019-01-28,Bing outage in China was technical error  not censors' block - source ,SHANGHAI/BEIJING  Jan 28 Search engine Bing's outage in China last week was a technical error  rather than an intentional censorship block  a source familiar with the matter said  although Chinese authorities and Microsoft have not commented on the topic.,normal
TSLA,Tesla Inc ,2019-01-28,Saudi Arabia's PIF slashes exposure to Tesla: FT ,Saudi Arabia's Public Investment Fund (PIF) has slashed its exposure to Tesla Inc  the Financial Times reported on Monday  citing people with direct knowledge of the matter.,topStory
TSLA,Tesla Inc ,2019-01-28,UPDATE 2-Saudi Arabia's PIF slashes exposure to Tesla - FT ,Jan 28 Saudi Arabia's Public Investment Fund (PIF) has slashed its exposure to Tesla Inc  the Financial Times reported on Monday  citing people with direct knowledge of the matter.,normal
TSLA,Tesla Inc ,2019-01-28,Saudi Arabia's PIF slashes exposure to Tesla - FT ,Jan 28 Saudi Arabia's Public Investment Fund has slashed https://www.ft.com/content/d501c670-2307-11e9-b329-c7e6ceb5ffdf its exposure to Tesla Inc  the Financial Times reported on Monday  citing people with direct knowledge of the matter  sending the electric car maker's shares down 2.2 percent in mid-day trading.,normal
TSLA,Tesla Inc ,2019-01-28,Tesla seen forecasting first-quarter loss after Musk warning ,Wall Street analysts expect Tesla Inc to forecast a loss for the first quarter when it reports results on Wednesday  having changed their expectations for a profit after Chief Executive Officer Elon Musk warned of a "very difficult" road ahead.,normal
TSLA,Tesla Inc ,2019-01-28,Tesla seen forecasting first-quarter loss after Musk warning ,Jan 28 Wall Street analysts expect Tesla Inc to forecast a loss for the first quarter when it reports results on Wednesday  having changed their expectations for a profit after Chief Executive Officer Elon Musk warned of a "very difficult" road ahead.,normal
NVDA,NVIDIA Corporation,2019-01-28,US STOCKS SNAPSHOT-Wall Street ends lower as Caterpillar  Nvidia warnings weigh ,NEW YORK  Jan 28 U.S. stocks ended lower on Monday after warnings from Caterpillar Inc and Nvidia Corp added to concerns about a slowing Chinese economy and tariffs taking a bite out of U.S. corporate profits.,topStory
NVDA,NVIDIA Corporation,2019-01-28,Caterpillar  Nvidia sound alarm on profit hit from China ,Warnings from Caterpillar and Nvidia on Monday about weakening demand from China signal investors could see more profit shortfalls from U.S. companies that count on the world's No. 2 economy for a big portion of their business. | Video ,normal
NVDA,NVIDIA Corporation,2019-01-28,UPDATE 2-Caterpillar  Nvidia sound alarm on profit hit from China ,Jan 28 Warnings from Caterpillar and Nvidia on Monday about weakening demand from China signal investors could see more profit shortfalls from U.S. companies that count on the world's No. 2 economy for a big portion of their business.,normal
NVDA,NVIDIA Corporation,2019-01-28,China worries slam stocks  rising supply hits oil ,NEW YORK Global stock markets tumbled on Monday after Caterpillar and Nvidia Corp warned of weak Chinese demand while oil posted its biggest one-day drop in a month on expectations of growing U.S. crude supply. | Video ,normal
NVDA,NVIDIA Corporation,2019-01-28,GLOBAL MARKETS-China worries slam stocks  rising supply hits oil ,NEW YORK  Jan 28 Global stock markets tumbled on Monday after Caterpillar and Nvidia Corp warned of weak Chinese demand while oil posted its biggest one-day drop in a month on expectations of growing U.S. crude supply.,normal
NVDA,NVIDIA Corporation,2019-01-28,GLOBAL MARKETS-China worries send stocks down  rising supply hits oil ,NEW YORK  Jan 28 Global stock markets tumbled on Monday after Caterpillar and Nvidia Corp warned of weak Chinese demand while oil headed for its biggest one-day drop in a month on expectations of growing U.S. crude supply.,normal
NVDA,NVIDIA Corporation,2019-01-28,Caterpillar  Nvidia sound alarm on China impact ,Jan 28 Warnings from Caterpillar and Nvidia on Monday about weakening demand from China signal investors could see more profit shortfalls from U.S. companies that count on the world's No. 2 economy for a big portion of their business.,normal
NVDA,NVIDIA Corporation,2019-01-28,GLOBAL MARKETS-Stocks slide on China worries  rising supply hits oil ,NEW YORK  Jan 28 Stock markets slid worldwide on Monday as reduced outlooks from Caterpillar and Nvidia Corp underscored investor concerns about China's economy  while oil headed for its biggest one-day drop in a month on evidence of more growth in U.S. crude supply.,normal
NVDA,NVIDIA Corporation,2019-01-28,US STOCKS-Wall Street rattled by Caterpillar  Nvidia warnings ,* Indexes down: Dow 1.40 pct  S&P 1.23 pct  Nasdaq 1.45 pct (Changes comment  adds details  updates prices),normal
INTC,Intel Corporation,2019-01-28,Intel plans to invest $11 bln in new Israeli chip plant - report ,Jan 28 U.S. chipmaker Intel plans to spend 40 billion shekels ($10.89 billion) to build a new manufacturing plant in Israel and has asked the Israeli government for a grant amounting to 10 percent of the amount  a local news website reported on Monday.,topStory
