MSFT,Microsoft Corporation,2019-05-03,UPDATE 2-Norway's wealth fund made record returns in Q1  looking at Uber IPO ,* Graphic: http://tmsnrt.rs/2tskfub (Adds comments by CEO on tech firms  Uber IPO),normal
TSLA,Tesla Inc ,2019-05-03,U.S. rejects Tesla bid for tariff exemption for Model 3 'brain' ,WASHINGTON U.S. trade officials rejected Tesla Inc's bid for relief from President Donald Trump's 25 percent tariffs on the Chinese-made computer "brain" of its Model 3 electric vehicles   one of more than 1 000 product denials linked to China's industrial development plans.,topStory
TSLA,Tesla Inc ,2019-05-03,UPDATE 3-U.S. rejects Tesla bid for tariff exemption for Model 3 'brain' ,WASHINGTON  May 3 U.S. trade officials rejected Tesla Inc's bid for relief from President Donald Trump's 25 percent tariffs on the Chinese-made computer "brain" of its Model 3 electric vehicles   one of more than 1 000 product denials linked to China's industrial development plans.,normal
TSLA,Tesla Inc ,2019-05-03,U.S. rejects bid by Tesla for tariff exemption for Model 3 'brain' ,WASHINGTON  May 3 U.S. trade officials rejected Tesla Inc's bid for relief from President Donald Trump's 25 percent tariffs on the Chinese-made computer "brain" of its Model 3 electric vehicle   one of more than 1 000 product denials linked to China's industrial development plans.,normal
TSLA,Tesla Inc ,2019-05-03,Tesla boosts capital raise to $2.7 billion  Musk buys more stock ,Tesla Inc on Friday was set to raise up to $2.7 billion in a record-setting capital raising for the electric carmaker  as investors scooped up a mix of new stock and convertible notes that will recharge the company's cash-depleted balance sheet.,normal
TSLA,Tesla Inc ,2019-05-03,UPDATE 3-Tesla boosts capital raise to $2.7 bln  Musk buys more stock ,May 3 Tesla Inc on Friday was set to raise up to $2.7 billion in a record-setting capital raising for the electric carmaker  as investors scooped up a mix of new stock and convertible notes that will recharge the company's cash-depleted balance sheet.,normal
TSLA,Tesla Inc ,2019-05-03,CORRECTED-Tesla offering priced at $243 per share ,May 3 Tesla Inc said on Friday its offering of 3.1 million shares was priced at $243 per share and Chief Executive Officer Elon Musk will buy shares worth up to $25 million.,normal
TSLA,Tesla Inc ,2019-05-03,RPT-Tesla seen finding ample appetite for its newest convertible bond ,NEW YORK  May 2 Tesla Inc should find no shortage of demand for the $1.35 billion convertible bond the electric carmaker is selling even though the terms it is offering look inferior on paper to a similar deal two years ago  bond investors said Thursday.,normal
TSLA,Tesla Inc ,2019-05-03,Elon Musk owes $507 million to banks helping Tesla raise capital ,SAN FRANCISCO Tesla Inc Chief Executive Elon Musk personally owes $507 million to Wall Street banks involved in Tesla's stock and debt sale  backed by his stake in the electric car maker  a company filing showed on Thursday.,normal
TSLA,Tesla Inc ,2019-05-03,Exclusive: U.S. seeks to challenge China's electric-vehicle supply chain dominance ,WASHINGTON A U.S. senator plans to introduce legislation on Thursday to streamline regulation and permitting requirements for the development of mines for lithium  graphite and other electric-vehicle supply chain minerals  part of a plan to offset China's dominance in the space.,normal
TSLA,Tesla Inc ,2019-05-03,METALS-Copper rebounds; Tesla expects copper  nickel shortage ,SINGAPORE  May 3 Copper prices and other industrial metals recovered slightly on Friday in thin Labour Day holiday trade  supported by expectations of a global shortage for copper and nickel by electric-vehicle maker Tesla Inc.,normal
QCOM,QUALCOMM Incorporated,2019-05-03,U.S. Justice Department asks for hearing in Qualcomm antitrust case ,The U.S. Department of Justice's antitrust division asked a federal judge on Thursday to hold a hearing on any possible remedies to be imposed if mobile chip supplier Qualcomm Inc is found liable in an antitrust lawsuit brought by the U.S. Federal Trade Commission.,topStory
QCOM,QUALCOMM Incorporated,2019-05-03,UPDATE 2-U.S. Justice Department asks for hearing in Qualcomm antitrust case ,May 2 The U.S. Department of Justice's antitrust division asked a federal judge on Thursday to hold a hearing on any possible remedies to be imposed if mobile chip supplier Qualcomm Inc is found liable in an antitrust lawsuit brought by the U.S. Federal Trade Commission.,normal
